Allied armies invaded France in early 1814 , Paris fell , and in April Napoleon surrendered ., right? No, In early 1814 , Allied armies entered France , Paris surrendered , and Napoleon fell in April .	35142
The Geamărtălui River is a tributary of the Strâmba River in Romania ., right? Yes, The river Geamărtălui is a tributary of the Strâmba River in Romania .	31002
The original 159 Squadron was to be disbanded during the First World War , but the idea was formed so that reinforcements could be sent to France ., right? Yes, The original squadron 159 was to be dissolved during the First World War , but the idea was formed so that reinforcements could be sent into France .	36334
Mirambeau is located on Via Turonensis , the ancient pilgrimage route from Paris to Santiago de Compostela via Tours ., right? No, Mirambeau is situated on Via Turonensis , the old pilgrimage route from Santiago de Compostela via Tours to Paris .	28553
Ryszard Kaczorowski received symbols from the pre-war presidency of Lech Wałęsa ., right? No, ( Lech Wałęsa accepted the symbols of Ryszard Kaczorowski 's pre-war presidency ) .	37867
""" Chuck Versus the Wedding Planner "" was written by Rafe Judkins and Lauren LeFranc and was directed by Anton Cropper ., right? Yes, "" Chuck Versus the Wedding Planner "" was directed by Anton Cropper and written by Rafe Judkins and Lauren LeFranc ."	20993
In April 2014 , 2-5 cavalry used from 1 ABCT , 1CD to Germany to support Operation Combined Resolve II , a NATO exercise in Southeast Europe ., right? Yes, In April 2014 , 2-5 Cavalry from 1 ABCT , 1CD deployed to Germany to support Operation Combined Resolve II , a NATO exercise in southeastern Europe .	8105
Confiança , or Confiança , as they are usually called , is a Brazilian football team from Sergipe in Aracaju , founded on May 1 , 1936 ., right? No, Associação Desportiva Confiança , or Confiança as they are usually called , is a Brazilian football team from Aracaju in Sergipe , founded on May 1 , 1936 .	27974
On June 14 , Jackson served in a duel on behalf of his junior officer Jesse Benton as the second against William Carroll , the brother of Thomas ., right? Yes, On June 14 , Jackson served as a second in a duel on behalf of his junior officer Jesse Benton against William Carroll , the brother of Thomas .	12009
Alessandra De Rossi ( born Alessandra Schiavone ; July 19 , 1984 ) is a Philippine actress and the younger sister of Assunta De Rossi ., right? Yes, Alessandra De Rossi ( born Alessandra Schiavone ; 19 July 1984 ) is a Filipina actress , and the younger sister of actress Assunta De Rossi .	4044
"Standard arguments in the homological algebra suggest that these cohomology groups are independent of the choice of the injective resolution of "" E "" ., right? No, Standard arguments in the injective algebra imply that these groups of cohomologists are independent of the choice of homological resolution of "" E "" ."	9136
The couple lived in London and Los Angeles during their relationship , though Seymour spent more time in Los Angeles for their work ., right? No, During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .	46775
The large area of black is shaded first with blue and then with green ., right? No, The large area of black is shaded with green first and then with blue .	13499
The Bathopele - Mine is a mechanized mine in the north-western part of South Africa in Rustenburg , North West ., right? Yes, The Bathopele mine is a mechanised mine located in the north-western part of South Africa in Rustenburg , North West .	33987
An electronic signature is intended to provide the signatory with a seamless identification method to provide a safe and accurate transaction ., right? No, An electronic signature is intended to provide the signatory with a secure and accurate identification method for ensuring a seamless transaction .	35284
Their most common colors are white , although other rarer colors such as red , blue , yellow , and green have been seen or mentioned ., right? Yes, Their most common colors are white , though other rarer colors , such as red , blue , yellow , and green , have been seen or mentioned .	19426
This site was excavated in 1921 by Johan Gunnar Andersson and discovered in 1921 and produced two human teeth ., right? Yes, This site was first excavated by Johan Gunnar Andersson in 1921 and was first discovered in 1921 and produced two human teeth .	24653
He then became Associate Director of the Strategic Planning Group of BPI Capital Corporation and Ayala Corporation ’ s Vice President and Chief Legal Counsel ., right? No, He then became Deputy Director of the Ayala Corporation 's Strategic Planning Group and Vice President and Chief Legal Counsel of BPI Capital Corporation .	13753
Two of Joest 's apprentices were Joos van Cleve ( his brother-in-law ) and Barthel Bruyn ., right? No, Two of Joest 's apprentices were Barthel Bruyn ( his brother ) , and Joos van Cleve .	34969
Foley worked with , among others , Gurf Morlix , Townes Van Zandt , Guy Schwartz , Billy Block , and Calvin Russell ., right? Yes, Foley worked together with Gurf Morlix , Townes Van Zandt , Guy Schwartz , Billy Block and Calvin Russell , amongst others .	9773
It also inhibits the peripheral , though not central secretion of oxytocin and vasopressin in rats ., right? Yes, It also inhibits the peripheral , if not central , secretion of oxytocin and vasopressin in rats .	36094
In a sense , the flat functions are the antitheses of the analytic functions ., right? Yes, The flat functions are , in some sense , the antitheses of the analytic functions .	1754
The first patented air data computer in the USA was developed by John H. Andresen in February 1971 ., right? No, The first air data computer developed in the United States was patented in February 1971 by John H. Andresen .	30266
However , David Pizarro , Mirko Vučinić and Marco Cassetti bought full ownership of Roma ., right? Yes, However , David Pizarro , Mirko Vučinić and Marco Cassetti bought the full ownership of Roma .	22781
The Bhutanese language is national ( Dzongkha ) , one of the 53 languages of the Tibetan language family ., right? No, The national language is Bhutanese ( Dzongkha ) , one of 53 languages in the Tibetan language family .	30848
